hash;signature;tags
00000077553a5b27a610ac98f29563bbd6e0decc020c2d49e4fa0d89197e7fd8;;exe
00000cb08852491cec71fa7896e266ae88826abbacf9a4244e0145e7b28bb11e;VirLock;exe
00000e8f0982aab608abfa846168a08f4f0fd28597088be9cdfd06b3a14efb3d;;exe
00000fa1585e99fcb5e8728b96f173ff61b08fc152e2f50d715f6d596dec42fb;Smoke Loader;exe,Smoke Loader
0000156d65ad8a41975a6983142afb24564b43d91adf85d5e9a038d20c11c1be;;exe
000025c20f564ea5e438f78d01c44f79a001aa956327d3d0d78e74acb90c6775;;exe
00002b7f8290b1e466feabf4324ec0ab30c499cc3661acd8c1c08b6fd22453b7;Urelas;exe,Urelas
0000361f90000ceca0b05e840fca7b7cc535a0e7867207bc76fbf71a45a3788f;AgentTesla;AgentTesla,exe
000044ee4d5efa90c9debb78ebc540f2adaba11796f5593e72a9bed30289f87a;Zatoxp;exe,Zatoxp
000065eeeca4c371adc6f0465173608216bc3f43a29dba43696926874db9b7f5;;exe
00006b836325967d9dbe2ab0a63fb203bd8c27cd1338f982cdd163a253b329d4;CoinMiner;CoinMiner,exe
0000748a76d27e79b85660756c1a1fddef89938c1ea68da2845eb1791406f8ea;Adware.DownloadMR;Adware.DownloadMR,exe,signed
00007a737454b389562368822191e0ce9eaead92df990b5b220d929a6c02be97;;exe
000087abff6599a9d7c30e16f7c5066e9f163a05a0933be3f363ec3947adf93b;;exe
00008b560b1c353a5e58b4dfa7c16206af78a919fa7a6047c13dce9b1e5f7f86;Blackmoon;Blackmoon,exe
0000d44d392b76956d7c30236179a680ded8e4b2332e37d22d356876940a9aee;;dkuug-dk,exe
0000e8bfdd41e01fb3d36315502ac76c5553905a3abdd6acf741c1d633cbd6a9;AgentTesla;AgentTesla,exe
0000f9e17cb609760e906ad608d5bf0df2ac07447c5e727a4a3e7058936f2bd8;;dkuug-dk,exe
0001000d18a8e5a874392f6deaecceea53779b34dff8608ff0c017cc82bb5140;Smoke Loader;exe,Smoke Loader
0001160ade94fc6a9966f5db1029ad8b348f477d692526fce1d2d18c34694200;Tofsee;exe,Tofsee
00011cb5a8a25fa0000dcd7a0b057cc8fa119323e3d4b68b4f596b07eca6bb42;Formbook;32,exe,Formbook
0001218bd2f4e45c045997f252964aba5cb150b71c51340e318c193217eef2ea;;dkuug-dk,exe
00012e2de7a1a2dcc2f2d0fbecd6158ac2a2b2804088cf2ea03ce59931b4aa09;AsyncRAT;AsyncRAT,exe,RAT
00013087a34e4ae62b81cd68ee2c649ff60dc657030520a629675d1e42c300ce;;exe
00013c57a25a5efe2ad93366e43c58f2103806bd73263503e8a1e0e726228b4b;GandCrab;exe
0001b57cef8afca136cd082f12ffa26635dc73e5d2c8dee60097e11e3fdab1df;Stealc;exe,Stealc
0001fbca7cb8ec51415d5ffb9fe2d910dc2b14805d9daa1cc98bbbb9c701a261;Formbook;exe,Formbook
000202feec9fb27f4ac14be091428adf1208e41679374608ba61f80e20b3c424;;exe
00020e2d92820e45f24dfccfcb025f98114ff71e33779802d1b7f5d263d06c2f;;dkuug-dk,exe
00022259e4007e25bd78d36d83e56d0989de57b16419f9663332570d3139266b;Formbook;exe,Formbook
0002265c95ece3434a760ae8f947e634eccbe117fcc06fc382d20784b39af2f6;RedLineStealer;32,exe,RedLineStealer
000276afeca4e0254fcfaebf8f38270e168361954ea667b38c65b4c192a870ac;;dkuug-dk,exe
00027d11309d55312ae77f32d4ae79671c91f541e577bace7a5a5abde05563ad;Formbook;exe,Formbook,xloader
000285eadc4e6a68f32343409159c1b44aed8a0bc1c0cd57cca0c4043632907b;Loki;exe,Loki
00028abdb20a478f15791b39f7f2179b0b75ebcd8fee2d6032a9475252251057;DarkVNC;DarkVNC,exe
00028c98a3727362f90c00c7d06c59ba87f68dcb85787aa2a436bb900c8053e7;RedLineStealer;exe,RedLineStealer
0002ab37c265250dc388afc14e44b8b9362d941db7634df5bad9fa7d7c287b19;RedLineStealer;32,exe,RedLineStealer,signed
0002bb6b31babe755c6ecea4218f2cae5f3caef7e7edd8f85dfe2801f77d03b0;;dkuug-dk,exe
00034b98e4fa0f708fd27b7d3fec587058729f096c882f8f8b45bfcef7381ebd;Vidar;exe,Vidar
00037a0cc29f3c99e88aeb57af189e291c6fe38b8b252718ec793096c4b7f463;njrat;exe,njrat,RAT
00037f2d52219a6672d6a583e887a809250c96f8f0eacf7d8503848c874dac6b;Heodo;32,dll,Emotet,exe,Heodo
000383e0e33df13f8701f5e84e02608476307df312cdb20271f885a3b53d2364;;exe
0003b5d6c92e1466b6f734da9175b9cfc65ebd4d576b73f92100b0b2e899bb3b;Formbook;exe,Formbook
0003c4ac06a2ae23eff788a3ff179174f588fbf28e876621c64943aa5db072e8;ArkeiStealer;ArkeiStealer,exe
0003d39fdeaf2d242c347bc8bf5d8bebe911897349e1406cbb6e219d5c831cd7;GCleaner;exe,GCleaner
0003fe34723231d0ea6868d5ce9d64147b51b46be984d8ea4fb9a358c888aa79;RedLineStealer;exe,RedLineStealer
0004033aedd01d2928c1c31abb57633f1c493a213eae7318e0096ef3b24e88ef;Loki;exe,Loki
0004058a9f34d485bf4edc501d4bdec182c94745947a2aa541a43d99ddb69bd7;;exe
000410685bd62172ae00cafa761c1420f219d323deade184c4259d3d29d416aa;Loki;32,exe,Loki
000415d1c7a7a838ba2ef00874e352e8b43a57e2f98539b5908803056f883176;ZeuS;exe,zbot,ZeuS
00042d9031693dbf972c61d11107c6d14ba56b25bfc152bfcc1109922a1bcfbe;NanoCore;exe,NanoCore
00042ff7bcfa012a19f451cb23ab9bd2952d0324c76e034e7c0da8f8fc5698f8;Formbook;exe,Formbook
00043627e2e39c234ef47d1a29d6f2a41b8e3157b600aeff41bf04835f8ac363;;dkuug-dk,exe
000449f94c6e689a227209669911783303c5157257d65a42b3d58182e1943376;RedLineStealer;32,exe,RedLineStealer
0004700c51a30c51443667e0ab7588e4299518daa3de057f9a56a6e3316c906b;AZORult;AZORult,exe
0004cec68fdb95507c6161d84e4965db60f997a679ce20786075992f1e5b340c;;exe
0004d851f92bfea425f064b898e7668d84a26e12954785ce0ec3b62ff2e34d46;Smoke Loader;exe,Smoke Loader
00050076a05669ce423524fae8c5d6cd1ee3aa837551d2c7441f1b91c95e77f3;a310Logger;a310Logger,exe
000510235af88211cab033096f5607adfecd39ec459e764aad8415223e2c9247;CobaltStrike;CobaltStrike,exe
000512435d0d55901f55882d7be3c3d27e675e73d944fb8e09d3b73e0abccbc3;AgentTesla;AgentTesla,exe,Maersk
000516c28c42ecfae446be04b493a3110b5fc044de5bf89e4d6fbda5d2c2ee84;Smoke Loader;exe,Smoke Loader
000518a2ac056e4e5907aa1eab5b5c4e61b728583a4f77322a6c85190993f4df;njrat;exe,njrat
0005221f680e052526e38e898d16b9bc7c943c7525684215374e0798835d021d;RemcosRAT;exe,RemcosRAT
00053bf64ec3040b73c84979799768dba9a03c5f0d2f73512977c7030e29dd49;LummaStealer;exe,LummaStealer
00054622b44474a980198266bf3f838d43cab9abe99e12788eda9ba208a57d85;;exe
000573eba5bf2bcab6a25216d080216f0be3766ebfd6471225193d415a11b29d;;dkuug-dk,exe
0005d98e4c18425eeeedf31ebfb0bf4ba74f92aa56aa075a4c55d3e8a0b8e50b;SnakeKeylogger;exe,SnakeKeylogger
0005da3457820dc7c6febc2bd0559aff013b7c327d3f8e150b3444f39025941f;;exe
0005e5022cd608e05426c717720cab930b17de32f9afde7af7db5bff68db21ea;GuLoader;exe,GuLoader
0005ec4d705719b222998bc82ee69dd942e213c102f24802bda090174845dd33;AgentTesla;AgentTesla,exe
00062073114defac39cb7ab9cb99a0b77c535a09a241c60d47ddd0b6431629f1;;exe,LUDER_MAL
00062b49ea23155c8f8f43d9a4e50f61f57f10b60e1eb5cf9373451149bccb47;Loki;exe,Loki
00062cb01088cea245cd5f3eb03f65a0e6b11a8126ce00034d87935a451cf99c;RedLineStealer;exe,RedLineStealer
0006468d0b30b38d12e96acad3fc367121b39b630c8db22bbc3613b276c287e0;;exe
000646943e88e510f43668baa95adc576c751dae2a7ea154e5ad8cbf29949813;GCleaner;exe,GCleaner
00064ab13de50919fd7a194903538834e1f2c40486741d8a54574d7f2a9afa60;Loki;exe,Loki
00067257d16ff95a6a898b57632a3f606b349ac84f2beee18491e19e67180a5b;;exe
00068c42aca308063416f2ab531c218bd8c6b960fe727064f03cfda101f9c746;ArkeiStealer;32,ArkeiStealer,exe
0006c038d00e973d7358d7fb306db4a7ff0179656af20e190054bb09db496484;;exe
0006f7b92348baf0f9da231dc6553defe4e9ce190eff4f1617b81cc3fabbce86;Loki;exe,Loki
0007311d7ccdb22d05e828edd39abec574f7f18b6f7ad9262acd1e76a6f4b7de;AgentTesla;AgentTesla,exe
000752074544950ae9020a35ccd77de277f1cd5026b4b9559279dc3b86965eee;Lazarus;apt,exe,HazyLoad,Lazarus
0007b4ec7c22fa3c380ca09a195818398f6b7a5c0c91914994fd5df36e36af38;CobaltStrike;BR,CobaltStrike,exe,goji-actives.net
0007b9bec7568706fdf4529e00b77ae05ffc321972fb7be50d8f1f21ce5e42bf;Heodo;Emotet,exe,Heodo
0007e938052e444208feef8729dfbccf28120fd63299e8d331582be49b4041be;Heodo;emotet,exe,Heodo
0007f855c65b913a538d9a7680c5078dcdf8f49e26f37a130ec982c275bb693b;AgentTesla;32,AgentTesla,exe
0007fce64de11359a1a0056b921d4d0c9bfc84e3a82bd35cd0bc0766470e7972;Formbook;exe,Formbook
00080e22a8676086a8c8bb16b71c74e89b4ab7e1bf81528053f4352d712bd282;Smoke Loader;exe,Smoke Loader
0008988cd303adfa7bec7e1c757386bb4039dd52f04961d90a4b63140b36dc0d;Smoke Loader;exe,Smoke Loader
